ID,매물확인방식,보증금,월세,전용면적,해당층,총층,방향,방수,욕실수,주차가능여부,총주차대수,관리비,중개사무소,제공플랫폼,게재일,허위매물여부
TRAIN_0058,서류확인,88000000.0,150000,24.69,11.0,14.0,동향,1.0,1.0,가능,21.0,0,G52Iz8V2B9,A플랫폼,2025-02-02,0
TRAIN_0059,현장확인,160500000.0,590000,17.5,2.0,3.0,동향,2.0,1.0,불가능,44.0,0,G52Iz8V2B9,B플랫폼,2024-04-14,0
TRAIN_0060,현장확인,77500000.0,60000,,2.0,5.0,동향,1.0,1.0,가능,,13,w37Qk3B9D2,B플랫폼,2024-09-30,0
TRAIN_0061,현장확인,82500000.0,470000,17.5,,11.0,북서향,1.0,1.0,가능,21.0,5,O55VW6U4R7,A플랫폼,2024-10-11,0
TRAIN_0062,현장확인,405000000.0,310000,37.98,4.0,18.0,동향,1.0,1.0,불가능,38.0,0,G52Iz8V2B9,B플랫폼,2024-04-23,0
TRAIN_0063,현장확인,108000000.0,480000,32.84,3.0,10.0,북동향,2.0,1.0,가능,30.0,0,G52Iz8V2B9,A플랫폼,2024-07-03,0
TRAIN_0064,현장확인,177500000.0,260000,31.32,4.0,5.0,북동향,1.0,1.0,가능,1.0,0,G52Iz8V2B9,B플랫폼,2023-12-03,0
TRAIN_0065,현장확인,186500000.0,740000,28.67,4.0,7.0,동향,1.0,1.0,불가능,1.0,0,G52Iz8V2B9,C플랫폼,2024-03-29,0
TRAIN_0066,서류확인,321500000.0,230000,26.44,2.0,3.0,남향,2.0,1.0,불가능,,2,D49QC8I7L2,A플랫폼,2024-11-11,0
TRAIN_0067,현장확인,10500000.0,210000,17.5,3.0,10.0,남향,1.0,1.0,가능,4.0,17,k87TR0Q8N4,A플랫폼,2024-11-04,0
TRAIN_0068,서류확인,111000000.0,330000,,,7.0,동향,2.0,1.0,가능,1.0,6,o61te4S1W1,J플랫폼,2024-11-22,0
TRAIN_0069,현장확인,195000000.0,590000,,2.0,3.0,남서향,2.0,1.0,불가능,,0,K38kY2R6G0,B플랫폼,2024-10-25,0
TRAIN_0070,현장확인,147000000.0,300000,19.8,3.0,4.0,북동향,1.0,1.0,가능,2.0,8,Z81Jv8Z5G2,H플랫폼,2024-12-10,0
TRAIN_0071,서류확인,25000000.0,170000,36.36,3.0,6.0,동향,2.0,1.0,가능,4.0,7,m44pw5A9I1,A플랫폼,2024-10-15,0
TRAIN_0072,현장확인,105000000.0,290000,,,8.0,서향,2.0,1.0,불가능,5.0,2,u04Gp5J3R0,A플랫폼,2024-03-12,0
TRAIN_0073,현장확인,5000000.0,550000,25.43,6.0,7.0,남향,1.0,1.0,가능,18.0,0,G52Iz8V2B9,A플랫폼,2024-03-23,0
TRAIN_0074,서류확인,193000000.0,510000,30.68,6.0,10.0,남향,1.0,1.0,가능,12.0,4,G52Iz8V2B9,A플랫폼,2024-04-25,0
TRAIN_0075,현장확인,78000000.0,570000,19.09,3.0,3.0,남향,1.0,1.0,불가능,13.0,5,G52Iz8V2B9,A플랫폼,2024-06-24,0
TRAIN_0076,전화확인,81000000.0,70000,,,,남향,,,불가능,,0,K48zc2G4K8,D플랫폼,2025-01-04,0
TRAIN_0077,현장확인,396000000.0,550000,,2.0,6.0,동향,1.0,1.0,불가능,,8,w37Qk3B9D2,B플랫폼,2024-11-27,0
TRAIN_0078,현장확인,70000000.0,530000,17.5,,9.0,남서향,1.0,1.0,불가능,8.0,7,f41Wq8P7T9,A플랫폼,2025-01-03,0
TRAIN_0079,현장확인,116000000.0,410000,17.5,12.0,13.0,남향,1.0,1.0,불가능,,8,o30ws9C6F7,A플랫폼,2024-11-29,0
TRAIN_0080,현장확인,69500000.0,680000,17.5,2.0,6.0,서향,1.0,1.0,가능,5.0,0,J52gJ2E4T6,C플랫폼,2024-12-05,0
TRAIN_0081,현장확인,90500000.0,260000,17.5,11.0,18.0,남향,2.0,2.0,가능,14.0,0,G52Iz8V2B9,I플랫폼,2025-01-29,0
TRAIN_0082,현장확인,89000000.0,390000,29.92,4.0,7.0,북서향,2.0,1.0,가능,,11,C41wx1K6U9,B플랫폼,2024-10-26,0
TRAIN_0083,현장확인,33000000.0,370000,40.89,,6.0,남동향,1.0,1.0,가능,11.0,3,C10hv5Y7M9,C플랫폼,2024-10-01,0
TRAIN_0084,현장확인,392000000.0,150000,17.5,12.0,14.0,동향,1.0,1.0,가능,104.0,10,z40LO7P9C9,F플랫폼,2024-10-30,0
TRAIN_0085,현장확인,24500000.0,450000,,3.0,4.0,남동향,2.0,1.0,불가능,,0,D47oH9N4M3,A플랫폼,2024-12-24,0
TRAIN_0086,서류확인,80500000.0,430000,17.5,12.0,14.0,서향,1.0,1.0,가능,104.0,7,W88DA3W2Q3,A플랫폼,2024-10-08,0
TRAIN_0087,현장확인,94000000.0,720000,21.16,9.0,15.0,동향,1.0,1.0,불가능,17.0,3,G52Iz8V2B9,D플랫폼,2024-12-15,0
TRAIN_0088,현장확인,151000000.0,50000,,,,서향,,,불가능,,0,M02bn7Y4P0,D플랫폼,2025-01-16,0
TRAIN_0089,현장확인,346000000.0,640000,30.55,3.0,6.0,남향,2.0,2.0,가능,44.0,1,G52Iz8V2B9,B플랫폼,2024-12-31,0
TRAIN_0090,현장확인,131500000.0,240000,35.24,5.0,7.0,남동향,1.0,1.0,불가능,30.0,0,G52Iz8V2B9,D플랫폼,2023-10-13,0
TRAIN_0091,현장확인,145500000.0,570000,,2.0,3.0,남향,2.0,1.0,불가능,,3,Y04yg0T7Z5,B플랫폼,2024-08-26,0
TRAIN_0092,현장확인,32500000.0,310000,34.45,7.0,10.0,남동향,1.0,1.0,불가능,50.0,9,G52Iz8V2B9,A플랫폼,2024-09-02,0
TRAIN_0093,전화확인,403500000.0,540000,,4.0,5.0,동향,2.0,1.0,가능,5.0,0,Y65Hw0Z3K0,A플랫폼,2024-05-01,1
TRAIN_0094,현장확인,177500000.0,390000,,4.0,5.0,남향,1.0,1.0,가능,1.0,14,K38kY2R6G0,B플랫폼,2024-08-31,0
TRAIN_0095,현장확인,156500000.0,480000,17.57,1.0,3.0,남동향,2.0,2.0,불가능,41.0,14,G52Iz8V2B9,A플랫폼,2024-08-02,0
TRAIN_0096,현장확인,324000000.0,570000,,3.0,5.0,북동향,2.0,1.0,불가능,2.0,0,A18IU3D9M4,B플랫폼,2024-09-27,0
TRAIN_0097,현장확인,126500000.0,30000,31.13,6.0,8.0,동향,1.0,1.0,가능,16.0,5,G52Iz8V2B9,D플랫폼,2024-01-14,0
TRAIN_0098,서류확인,167500000.0,200000,32.78,3.0,3.0,남동향,1.0,1.0,가능,41.0,0,G52Iz8V2B9,A플랫폼,2024-10-31,0
TRAIN_0099,현장확인,195500000.0,100000,38.96,3.0,14.0,남향,1.0,1.0,가능,33.0,10,G52Iz8V2B9,A플랫폼,2024-03-09,0
TRAIN_0100,서류확인,22000000.0,120000,29.98,7.0,8.0,남향,2.0,1.0,가능,6.0,0,u92NN7A1E5,A플랫폼,2024-10-23,0
TRAIN_0101,현장확인,22000000.0,480000,48.07,3.0,5.0,남동향,2.0,1.0,가능,4.0,0,D26uW0Q2N3,A플랫폼,2024-10-20,0
TRAIN_0102,현장확인,392000000.0,150000,17.5,,16.0,남향,1.0,1.0,가능,34.0,10,X71Iq5L2C6,A플랫폼,2024-09-01,0
TRAIN_0103,현장확인,338000000.0,240000,21.88,6.0,6.0,북향,1.0,1.0,가능,32.0,0,G52Iz8V2B9,F플랫폼,2024-02-25,0
TRAIN_0104,현장확인,104500000.0,140000,28.16,1.0,12.0,북향,1.0,1.0,가능,41.0,9,G52Iz8V2B9,A플랫폼,2025-02-27,0
TRAIN_0105,서류확인,393000000.0,630000,21.88,4.0,6.0,서향,1.0,1.0,가능,8.0,10,r82ax9M3U3,B플랫폼,2024-11-11,0
TRAIN_0106,현장확인,12500000.0,470000,,,7.0,동향,2.0,1.0,가능,5.0,14,f41Wq8P7T9,A플랫폼,2024-03-30,1
TRAIN_0107,현장확인,73500000.0,180000,35.03,3.0,8.0,남향,1.0,1.0,가능,50.0,5,G52Iz8V2B9,A플랫폼,2024-04-15,0
TRAIN_0108,전화확인,138000000.0,540000,20.21,8.0,9.0,동향,1.0,1.0,불가능,23.0,6,G52Iz8V2B9,B플랫폼,2023-08-25,0
TRAIN_0109,현장확인,75500000.0,480000,17.5,2.0,3.0,남향,2.0,1.0,가능,27.0,0,G52Iz8V2B9,A플랫폼,2023-12-23,0
TRAIN_0110,현장확인,83000000.0,620000,,3.0,4.0,북향,2.0,1.0,가능,3.0,0,I81Xq1F6S7,L플랫폼,2024-10-11,0
TRAIN_0111,현장확인,22000000.0,390000,19.83,2.0,7.0,남동향,1.0,1.0,불가능,,4,B44YF9W3O5,A플랫폼,2024-08-21,0
TRAIN_0112,현장확인,374000000.0,50000,,5.0,11.0,동향,1.0,1.0,가능,1.0,13,i07Ja2R7A8,A플랫폼,2024-12-06,0
TRAIN_0113,전화확인,390500000.0,290000,,3.0,4.0,남향,1.0,1.0,가능,1.0,0,b87Td0W4Y3,C플랫폼,2024-10-22,0
TRAIN_0114,현장확인,87000000.0,360000,27.25,8.0,11.0,동향,1.0,1.0,가능,26.0,5,G52Iz8V2B9,B플랫폼,2024-04-28,0
TRAIN_0115,서류확인,164500000.0,110000,31.86,4.0,6.0,동향,2.0,1.0,가능,4.0,9,S30er7F3P4,E플랫폼,2024-12-13,0
TRAIN_0116,서류확인,70500000.0,560000,18.9,2.0,8.0,남동향,1.0,1.0,가능,4.0,9,z54Fl0B2P9,A플랫폼,2024-12-21,0
TRAIN_0117,현장확인,12000000.0,260000,18.54,14.0,21.0,북향,1.0,1.0,가능,109.0,10,Z18up3D1C3,A플랫폼,2024-05-19,1
TRAIN_0118,현장확인,11000000.0,740000,25.49,,7.0,남향,1.0,1.0,가능,1.0,1,s37cv8A6L4,A플랫폼,2024-04-19,1
TRAIN_0119,현장확인,17000000.0,680000,22.17,6.0,6.0,서향,1.0,1.0,가능,27.0,5,G52Iz8V2B9,B플랫폼,2024-09-25,0
TRAIN_0120,현장확인,5500000.0,380000,26.44,4.0,6.0,남동향,1.0,1.0,가능,3.0,1,K25cF2K7X6,B플랫폼,2025-01-26,0
TRAIN_0121,현장확인,100500000.0,720000,,3.0,4.0,남서향,2.0,1.0,불가능,,0,U93ap2F8Z1,C플랫폼,2024-11-24,0
TRAIN_0122,현장확인,30000000.0,720000,19.8,5.0,8.0,서향,1.0,1.0,불가능,5.0,1,S12iP7V0Q9,A플랫폼,2024-12-24,0
TRAIN_0123,전화확인,156000000.0,140000,,2.0,3.0,남향,1.0,1.0,불가능,,0,w14tG2G0E3,D플랫폼,2024-08-20,0
TRAIN_0124,서류확인,153500000.0,290000,18.88,4.0,19.0,동향,1.0,1.0,가능,25.0,0,G52Iz8V2B9,A플랫폼,2024-03-06,0
TRAIN_0125,현장확인,387000000.0,160000,,,4.0,동향,2.0,1.0,불가능,,0,M92wE9E7E5,D플랫폼,2024-12-11,0
TRAIN_0126,현장확인,142500000.0,450000,34.54,2.0,2.0,남향,1.0,1.0,불가능,21.0,1,G52Iz8V2B9,D플랫폼,2024-06-11,0
TRAIN_0127,전화확인,170000000.0,450000,,3.0,5.0,남동향,2.0,1.0,가능,4.0,8,y20fU5B1A8,F플랫폼,2024-10-12,0
TRAIN_0128,서류확인,69500000.0,200000,,3.0,5.0,동향,2.0,1.0,가능,1.0,4,X95Bu4S5H2,D플랫폼,2024-07-17,1
TRAIN_0129,현장확인,366500000.0,410000,26.25,3.0,7.0,북동향,1.0,1.0,가능,4.0,5,J52gJ2E4T6,C플랫폼,2024-09-11,0
TRAIN_0130,현장확인,19000000.0,450000,,2.0,4.0,남향,2.0,1.0,불가능,,3,H58ZK7F1X4,J플랫폼,2024-07-29,0
TRAIN_0131,현장확인,144500000.0,140000,,,3.0,동향,2.0,1.0,불가능,,0,S14na8Q8K2,A플랫폼,2025-02-01,0
TRAIN_0132,현장확인,188000000.0,310000,24.29,4.0,11.0,서향,1.0,1.0,가능,34.0,8,G52Iz8V2B9,A플랫폼,2024-02-08,0
TRAIN_0133,서류확인,25500000.0,740000,40.12,,6.0,동향,1.0,1.0,가능,2.0,10,O18HJ6L0R2,A플랫폼,2025-01-01,0
TRAIN_0134,전화확인,402000000.0,150000,43.03,5.0,10.0,서향,2.0,1.0,가능,19.0,0,c25Ms9V8I4,C플랫폼,2024-11-28,0
TRAIN_0135,현장확인,406500000.0,590000,32.34,4.0,6.0,서향,2.0,1.0,가능,1.0,6,j90UQ8N6M3,A플랫폼,2024-03-21,1
TRAIN_0136,현장확인,135000000.0,70000,,4.0,6.0,서향,1.0,1.0,불가능,,19,H90uE4C0W5,A플랫폼,2024-04-19,1
TRAIN_0137,현장확인,76000000.0,550000,19.83,2.0,5.0,동향,1.0,1.0,불가능,,5,K95Xf2B9C6,A플랫폼,2024-09-06,0
TRAIN_0138,현장확인,363500000.0,470000,33.8,3.0,7.0,남향,2.0,1.0,가능,,10,D24eh4J3C3,H플랫폼,2024-11-24,0
TRAIN_0139,현장확인,107000000.0,460000,,2.0,6.0,서향,1.0,1.0,가능,,0,m69GM9O9B3,B플랫폼,2024-08-19,0
TRAIN_0140,현장확인,96000000.0,390000,,2.0,3.0,북서향,2.0,1.0,불가능,1.0,0,Q27Pd1N0R1,E플랫폼,2024-11-17,0
TRAIN_0141,현장확인,89000000.0,400000,17.5,4.0,5.0,서향,1.0,1.0,불가능,2.0,10,T86RB7R1M3,A플랫폼,2024-12-11,0
TRAIN_0142,서류확인,106000000.0,450000,17.5,9.0,21.0,남동향,1.0,1.0,가능,238.0,14,n74bA7B3O7,G플랫폼,2024-11-28,0
TRAIN_0143,현장확인,28000000.0,470000,,,6.0,북동향,2.0,1.0,가능,4.0,3,A24sf9I9O0,E플랫폼,2024-10-19,0
TRAIN_0144,현장확인,14000000.0,250000,,2.0,3.0,남향,2.0,1.0,불가능,,0,r14OE6C3A5,D플랫폼,2024-12-08,0
TRAIN_0145,현장확인,8000000.0,50000,29.96,9.0,9.0,동향,2.0,1.0,가능,1.0,10,w37Qk3B9D2,B플랫폼,2024-10-17,0
TRAIN_0146,현장확인,193500000.0,380000,27.35,1.0,2.0,동향,1.0,1.0,불가능,17.0,9,G52Iz8V2B9,B플랫폼,2024-11-17,0
TRAIN_0147,현장확인,154500000.0,80000,17.5,7.0,7.0,남향,1.0,1.0,가능,4.0,5,n74bA7B3O7,G플랫폼,2024-08-09,1
TRAIN_0148,서류확인,69000000.0,390000,28.6,2.0,3.0,북서향,2.0,1.0,불가능,,0,Y65Hw0Z3K0,A플랫폼,2024-10-02,0
TRAIN_0149,현장확인,327500000.0,390000,39.15,10.0,16.0,서향,2.0,2.0,가능,1.0,0,G52Iz8V2B9,A플랫폼,2023-10-21,0
TRAIN_0150,현장확인,30000000.0,320000,29.04,4.0,4.0,동향,1.0,1.0,불가능,6.0,2,G52Iz8V2B9,A플랫폼,2023-12-21,0
TRAIN_0151,현장확인,149000000.0,290000,30.49,10.0,19.0,동향,2.0,1.0,불가능,4.0,7,G52Iz8V2B9,B플랫폼,2023-11-02,0
TRAIN_0152,현장확인,7500000.0,170000,30.17,3.0,4.0,동향,1.0,1.0,가능,43.0,10,G52Iz8V2B9,B플랫폼,2024-11-28,0
TRAIN_0153,현장확인,167000000.0,380000,,,,동향,,,가능,1.0,0,c14YI4Z7E6,D플랫폼,2024-08-29,0
TRAIN_0154,현장확인,10500000.0,540000,19.83,,3.0,남향,1.0,1.0,불가능,,0,j79Xs5I3K0,A플랫폼,2024-11-06,0
TRAIN_0155,현장확인,193000000.0,450000,17.5,4.0,4.0,동향,1.0,1.0,불가능,1.0,2,a15xR3G4V0,A플랫폼,2024-12-24,0
TRAIN_0156,현장확인,8000000.0,190000,28.09,2.0,3.0,북향,2.0,1.0,불가능,,16,a15xR3G4V0,A플랫폼,2023-07-07,1
TRAIN_0157,서류확인,18500000.0,380000,17.5,5.0,6.0,남동향,2.0,1.0,가능,,9,d22DX4Y4P8,B플랫폼,2024-12-17,0
TRAIN_0158,현장확인,148000000.0,380000,31.68,2.0,2.0,북향,2.0,1.0,가능,1.0,3,G52Iz8V2B9,B플랫폼,2024-01-09,0
TRAIN_0159,서류확인,22000000.0,350000,17.5,12.0,15.0,북동향,1.0,1.0,불가능,9.0,6,G52Iz8V2B9,C플랫폼,2024-04-24,0
TRAIN_0160,전화확인,11000000.0,610000,,5.0,5.0,남서향,2.0,1.0,가능,6.0,0,D25dP0R4Q9,D플랫폼,2024-09-22,1
TRAIN_0161,서류확인,153000000.0,140000,30.94,7.0,20.0,남동향,2.0,2.0,불가능,16.0,0,G52Iz8V2B9,C플랫폼,2023-10-10,0
TRAIN_0162,현장확인,156500000.0,250000,,3.0,4.0,동향,2.0,1.0,가능,,3,d22DX4Y4P8,B플랫폼,2024-12-07,0
TRAIN_0163,현장확인,128000000.0,360000,,2.0,5.0,북동향,1.0,,가능,1.0,0,l96pE8X9A9,D플랫폼,2024-09-30,0
TRAIN_0164,현장확인,26000000.0,330000,25.77,5.0,8.0,동향,1.0,1.0,가능,6.0,0,S69fV9Z3J7,C플랫폼,2024-06-01,1
TRAIN_0165,서류확인,406000000.0,320000,20.47,5.0,10.0,북향,1.0,1.0,가능,22.0,0,G52Iz8V2B9,A플랫폼,2024-02-27,0
TRAIN_0166,현장확인,150000000.0,750000,44.76,5.0,6.0,남동향,2.0,1.0,불가능,4.0,17,n74bA7B3O7,G플랫폼,2024-05-01,1
TRAIN_0167,현장확인,165500000.0,490000,36.85,2.0,3.0,남향,1.0,1.0,가능,3.0,15,G52Iz8V2B9,A플랫폼,2023-12-15,0
TRAIN_0168,현장확인,153500000.0,110000,18.64,5.0,20.0,동향,1.0,1.0,가능,3.0,8,G52Iz8V2B9,A플랫폼,2023-09-11,0
TRAIN_0169,현장확인,17000000.0,320000,,4.0,5.0,동향,1.0,1.0,불가능,2.0,4,S69fV9Z3J7,C플랫폼,2024-12-18,0
TRAIN_0170,현장확인,338000000.0,280000,32.48,9.0,11.0,서향,1.0,1.0,불가능,45.0,9,G52Iz8V2B9,L플랫폼,2023-11-26,0
TRAIN_0171,현장확인,12500000.0,680000,30.98,1.0,19.0,서향,2.0,1.0,불가능,2.0,3,G52Iz8V2B9,B플랫폼,2024-05-22,0
